TIPO,CASO,FALHA,TESTE,NPOSTOS,PERC.ENA
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,fail_mean,FALHOU_AO_MENOS_UMTESTE,2.0,0.26
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,fail_mean,FALHOU_AO_MENOS_UMTESTE,92.0,82.38
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,fail_variance,FALHOU_AO_MENOS_UMTESTE,2.0,4.65
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,fail_variance,FALHOU_AO_MENOS_UMTESTE,56.00000000000001,48.22
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,fail_variance,FALHOU_AO_MENOS_UMTESTE,15.0,16.71
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,fail_variance,FALHOU_AO_MENOS_UMTESTE,25.0,28.22
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,fail_variance,FALHOU_AO_MENOS_UMTESTE,15.0,23.38
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,fail_variance,FALHOU_AO_MENOS_UMTESTE,73.0,90.38
avaliaArvoresRepresentativo/A_125_2_2,BKAssimetrico,distribution,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,BKSimetrico,distribution,FALHOU_AO_MENOS_UMTESTE,31.0,49.47
avaliaArvoresRepresentativo/A_125_2_2,KMeansAssimetricoProb,distribution,FALHOU_AO_MENOS_UMTESTE,4.0,1.97
avaliaArvoresRepresentativo/A_125_2_2,KMeansSimetricoProbQuad,distribution,FALHOU_AO_MENOS_UMTESTE,2.0,0.34
avaliaArvoresRepresentativo/A_125_2_2,NeuralGas,distribution,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_125_2_2,NeuralGasSimetrico,distribution,FALHOU_AO_MENOS_UMTESTE,17.0,3.5
