TIPO,CASO,FALHA,TESTE,NPOSTOS,PERC.ENA
avaliaArvores/A_125_2_2_Teste,BKAssimetrico,fail_mean,FALHOU_AO_MENOS_UMTESTE,3.0,0.76
avaliaArvores/A_125_2_2_Teste,BKSimetrico,fail_mean,FALHOU_AO_MENOS_UMTESTE,78.0,79.52
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoLinear,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoLinearQuad,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoPacote,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoProb,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoProbQuad,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoLinear,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoLinearQuad,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoPacote,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoProb,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoProbQuad,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_125_2_2_Teste,NeuralGas,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_125_2_2_Teste,NeuralGasSimetrico,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_125_2_2_Teste,BKAssimetrico,fail_variance,FALHOU_AO_MENOS_UMTESTE,5.0,2.89
avaliaArvores/A_125_2_2_Teste,BKSimetrico,fail_variance,FALHOU_AO_MENOS_UMTESTE,57.99999999999999,55.67
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoLinear,fail_variance,FALHOU_AO_MENOS_UMTESTE,24.0,18.77
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoLinearQuad,fail_variance,FALHOU_AO_MENOS_UMTESTE,27.0,26.28
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoPacote,fail_variance,FALHOU_AO_MENOS_UMTESTE,44.0,39.94
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoProb,fail_variance,FALHOU_AO_MENOS_UMTESTE,26.0,25.59
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoProbQuad,fail_variance,FALHOU_AO_MENOS_UMTESTE,30.0,26.74
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoLinear,fail_variance,FALHOU_AO_MENOS_UMTESTE,35.0,26.38
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoLinearQuad,fail_variance,FALHOU_AO_MENOS_UMTESTE,31.0,23.98
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoPacote,fail_variance,FALHOU_AO_MENOS_UMTESTE,34.0,25.22
