TIPO,CASO,FALHA,TESTE,NPOSTOS,PERC.ENA
avaliaArvoresRepresentativo/A_50_5_2,BKAssimetrico,fail_mean,FALHOU_AO_MENOS_UMTESTE,23.0,19.28
avaliaArvoresRepresentativo/A_50_5_2,BKSimetrico,fail_mean,FALHOU_AO_MENOS_UMTESTE,77.0,77.94
avaliaArvoresRepresentativo/A_50_5_2,KMeansAssimetricoProb,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_50_5_2,KMeansSimetricoProbQuad,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_50_5_2,NeuralGas,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_50_5_2,NeuralGasSimetrico,fail_mean,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_50_5_2,BKAssimetrico,fail_variance,FALHOU_AO_MENOS_UMTESTE,25.0,40.55
avaliaArvoresRepresentativo/A_50_5_2,BKSimetrico,fail_variance,FALHOU_AO_MENOS_UMTESTE,69.0,83.09
avaliaArvoresRepresentativo/A_50_5_2,KMeansAssimetricoProb,fail_variance,FALHOU_AO_MENOS_UMTESTE,35.0,30.61
avaliaArvoresRepresentativo/A_50_5_2,KMeansSimetricoProbQuad,fail_variance,FALHOU_AO_MENOS_UMTESTE,56.00000000000001,60.74
avaliaArvoresRepresentativo/A_50_5_2,NeuralGas,fail_variance,FALHOU_AO_MENOS_UMTESTE,50.0,44.35
avaliaArvoresRepresentativo/A_50_5_2,NeuralGasSimetrico,fail_variance,FALHOU_AO_MENOS_UMTESTE,96.0,99.83
avaliaArvoresRepresentativo/A_50_5_2,BKAssimetrico,distribution,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvoresRepresentativo/A_50_5_2,BKSimetrico,distribution,FALHOU_AO_MENOS_UMTESTE,17.0,30.07
avaliaArvoresRepresentativo/A_50_5_2,KMeansAssimetricoProb,distribution,FALHOU_AO_MENOS_UMTESTE,6.0,2.8
avaliaArvoresRepresentativo/A_50_5_2,KMeansSimetricoProbQuad,distribution,FALHOU_AO_MENOS_UMTESTE,12.0,3.54
avaliaArvoresRepresentativo/A_50_5_2,NeuralGas,distribution,FALHOU_AO_MENOS_UMTESTE,4.0,1.97
avaliaArvoresRepresentativo/A_50_5_2,NeuralGasSimetrico,distribution,FALHOU_AO_MENOS_UMTESTE,71.0,68.7
