NO,PROBABILIDADE
1,1.0
2,1.0
3,1.0
4,0.008
5,0.008
6,0.008
7,0.008
8,0.008
9,0.008
10,0.008
11,0.008
12,0.008
13,0.008
14,0.008
15,0.008
16,0.008
17,0.008
18,0.008
19,0.008
20,0.008
21,0.008
22,0.008
23,0.008
24,0.008
25,0.008
26,0.008
27,0.008
28,0.008
29,0.008
30,0.008
31,0.008
32,0.008
33,0.008
34,0.008
35,0.008
36,0.008
37,0.008
38,0.008
39,0.008
40,0.008
41,0.008
42,0.008
43,0.008
44,0.008
45,0.008
46,0.008
47,0.008
48,0.008
49,0.008
50,0.008
51,0.008
52,0.008
53,0.008
54,0.008
55,0.008
56,0.008
57,0.008
58,0.008
59,0.008
60,0.008
61,0.008
62,0.008
63,0.008
64,0.008
65,0.008
66,0.008
67,0.008
68,0.008
69,0.008
70,0.008
71,0.008
72,0.008
73,0.008
74,0.008
75,0.008
76,0.008
77,0.008
78,0.008
79,0.008
80,0.008
81,0.008
82,0.008
83,0.008
84,0.008
85,0.008
86,0.008
87,0.008
88,0.008
89,0.008
90,0.008
91,0.008
92,0.008
93,0.008
94,0.008
95,0.008
96,0.008
97,0.008
98,0.008
99,0.008
100,0.008
101,0.008
102,0.008
103,0.008
104,0.008
105,0.008
106,0.008
107,0.008
108,0.008
109,0.008
110,0.008
111,0.008
112,0.008
113,0.008
114,0.008
115,0.008
116,0.008
117,0.008
118,0.008
119,0.008
120,0.008
121,0.008
122,0.008
123,0.008
124,0.008
125,0.008
126,0.008
127,0.008
128,0.008
