TIPO,CASO,FALHA,EST,TESTE,NPOSTOS,PERC.ENA
avaliaArvores/A_50_5_2_Teste,BKAssimetrico,hypotesis_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,BKSimetrico,hypotesis_mean,3,FALHOU_AO_MENOS_UMTESTE,1.0,0.25
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinear,hypotesis_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinearQuad,hypotesis_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoPacote,hypotesis_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoProb,hypotesis_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoProbQuad,hypotesis_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoLinear,hypotesis_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoLinearQuad,hypotesis_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoPacote,hypotesis_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoProb,hypotesis_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoProbQuad,hypotesis_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,NeuralGas,hypotesis_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,NeuralGasSimetrico,hypotesis_mean,3,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_50_5_2_Teste,BKAssimetrico,hypotesis_mean,2,FALHOU_AO_MENOS_UMTESTE,3.0,0.2
avaliaArvores/A_50_5_2_Teste,BKSimetrico,hypotesis_mean,2,FALHOU_AO_MENOS_UMTESTE,44.0,36.48
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinear,hypotesis_mean,2,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
