  POSTO;ANO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ
  1;1931;178;371;326;479;332;226;125; 89;112;192;153;215
  1;1932;449;344;214; 72; 68; 98; 81; 71; 73; 92;102;240
  1;1933;287;161;147;108; 84; 72; 69; 64; 63; 67; 72;141
  1;1934;196; 96;112; 79; 60; 49; 44; 38; 40; 48; 57;216
  1;1935;242;381;184;169;121; 98; 73; 73; 69; 86; 86; 92
  1;1936; 84;108;229;128; 90; 67; 57; 58; 65; 60; 87;200
  1;1937;349;231;170;121;128; 95; 74; 62; 57;136;158;378
  1;1938;265;298;227;154;133;105; 88; 85; 97;125;135;256
  1;1939;260;261;149;150;107; 87; 79; 67; 63; 72;124;219
  1;1940;270;315;255;149;113; 94; 77; 65; 64; 80;177;213
