ANO,JANEIRO,FEVEREIRO,MARCO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO
1931,1476,2964,2167,1585,1254,785,607,469,538,662,667,1127
1932,1908,1898,1534,868,673,632,473,393,388,521,573,1474
1933,1330,726,696,610,441,356,329,325,295,411,295,692
1934,1210,699,752,480,333,276,240,204,247,272,320,1285
1935,1846,2584,1547,1334,909,674,554,468,436,619,527,661
1936,594,662,1812,942,626,436,365,352,445,351,601,1302
1937,2600,1589,1112,832,836,620,456,364,307,819,997,2343
1938,1899,1646,1445,952,850,637,508,481,481,793,914,1647
1939,2089,1999,1063,957,728,559,483,398,351,398,606,1356
1940,2018,2425,2077,1144,824,637,513,408,382,464,1043,1554
1941,1710,1005,973,794,508,458,456,334,607,666,704,1307
1942,1309,1244,1863,1033,768,637,546,419,390,540,858,1231
1943,2727,2198,2057,1132,826,680,554,495,442,648,657,1094
1944,1003,1521,1631,915,618,495,422,347,293,340,508,671
1945,875,1978,1208,995,628,553,500,349,314,349,765,1585
1946,3201,1310,1467,1152,756,627,548,430,335,516,690,749
1947,1775,1840,3757,1677,1034,804,699,548,814,627,714,1331
1948,1503,1721,1826,1075,769,668,480,419,349,385,765,1263
1949,1682,2221,1327,951,757,618,467,385,337,399,716,1153
1950,1559,2519,1581,1185,852,655,592,496,428,485,1059,1649
1951,1568,1994,1806,1276,899,700,557,476,388,432,377,761
1952,1214,1881,2356,1386,770,706,507,406,404,382,661,791
1953,605,680,839,1040,509,409,354,303,307,330,513,813
1954,743,1261,666,661,632,450,328,273,222,299,420,593
1955,1186,722,913,665,417,380,280,232,248,284,417,1163
1956,1103,712,1184,597,564,532,399,430,352,310,416,1165
1957,1605,1475,1663,1548,952,681,587,465,620,437,784,1202
1958,955,1535,1249,897,894,752,638,480,585,662,711,847
1959,1815,1408,1250,1094,693,581,497,465,401,428,668,780
1960,1564,1646,2119,999,859,651,638,508,397,428,548,1311
1961,2747,2902,2754,1457,1223,841,676,571,506,426,636,772
1962,1300,2389,1573,944,796,696,534,472,464,695,833,1454
1963,1723,1489,994,640,524,442,399,347,297,369,507,334
1964,1453,1954,823,752,611,469,378,258,225,531,742,1255
1965,2464,3125,2523,1321,1438,1062,947,777,641,973,1188,1869
1966,3033,2092,2679,1450,1034,726,581,486,484,805,1343,1856
1967,3014,2594,1916,1168,880,763,624,546,503,523,1080,1303
1968,1656,988,959,612,471,409,358,367,363,453,390,1337
1969,1171,1193,966,636,413,436,338,313,214,478,1241,1143
1970,1412,1280,1321,761,534,446,430,347,614,527,827,555
1971,612,357,477,401,310,365,309,218,232,470,533,1546
1972,1319,1776,1623,892,596,469,618,442,384,694,1132,1290
1973,1587,1428,920,1133,662,502,438,380,333,486,739,1409
1974,1830,1064,1544,1118,673,661,512,405,314,411,394,1095
1975,1460,1555,871,704,502,380,414,261,241,456,987,1196
1976,958,1143,1266,962,775,753,784,744,1068,917,1373,1915
