"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_Test";"T_p_valor";"Welch_Test";"Welch_p_valor";"F_Test";"F_p_valor";"Wilcoxon_Test";"Wilcoxon_p_valor"
"66";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;141;323,1;314,152;1,96;9,148;313,952;332,248;104,361;100,953;98,269;111,265;562,789;438,998;-0,101;-0,275;-1,003;-0,975;17,416;0,176;0,979;0,263;0,798;0;0;0,978;0,841;2697,5;0,669
"67";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;144;246,962;240,603;1,96;6,786;240,176;253,748;77,415;74,175;72,896;82,536;562,789;438,998;0,024;-0,122;-1,153;-1,289;13,013;0,154;0,996;0,255;0,804;0;0;1,021;0,912;2692;0,678
"68";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;145;168,928;170,503;1,96;2,662;166,266;171,59;30,367;28,754;28,594;32,376;562,789;438,998;0,29;0,118;-1,057;-1,817;9,766;0,216;0,89;-0,163;0,874;0;0;0,992;0,865;2910;0,375
"69";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;148;139,696;135,916;1,96;4,057;135,639;143,753;46,286;44,211;43,584;49,348;562,789;438,998;-0,043;-0,234;-0,962;-0,944;7,606;0,174;0,982;0,254;0,805;0;0;0,99;0,862;2692,5;0,677
"70";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;149;140,578;150,445;1,96;2,359;138,219;142,937;26,914;30,293;25,343;28,694;562,789;438,998;0,208;0,361;-0,075;-1,529;12,63;0,278;0,635;-0,97;0,357;0;0;0,998;0,874;2624,5;0,788
"71";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;154;155,942;155,699;1,96;1,654;154,288;157,596;18,874;17,321;17,772;20,122;562,789;438,998;1,325;0,787;0,481;-0,809;4,014;0,168;0,987;0,042;0,968;0;0;1,395;0,613;2537;0,937
"72";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;155;102,332;98,241;1,96;5,033;97,299;107,365;57,418;48,279;54,066;61,216;562,789;438,998;0,563;0,115;-0,359;-1,086;8,197;0,148;0,997;0,251;0,807;0;0;1,778;0,344;2899;0,388
"73";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;156;678,074;718,969;1,96;35,575;642,499;713,649;405,86;385,899;382,167;432,708;562,789;438,998;0,635;0,241;-1,022;-1,565;81,417;0,154;0,996;-0,315;0,76;0;0;1,439;0,573;2604,5;0,822
"74";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;158;44,926;46,425;1,96;1,274;43,652;46,2;14,539;16,611;13,69;15,501;562,789;438,998;0,668;0,68;0,073;-0,601;3,571;0,124;1;-0,269;0,794;0;0;0,846;0,609;2501,5;0,998
"75";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;160;13,21;13,092;1,96;0,307;12,903;13,517;3,504;3,244;3,299;3,736;562,789;438,998;0,424;0,213;-0,527;-1,093;0,622;0,092;1;0,108;0,916;0;0;0,905;0,714;2316,5;0,69
"76";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;161;112,96;110,585;1,96;2,632;110,328;115,592;30,028;27,684;28,275;32,014;562,789;438,998;0,437;0,397;-0,508;-1,015;5,559;0,17;0,985;0,255;0,804;0;0;0,897;0,7;2352,5;0,75
"77";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;166;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;NA;NA;0;0;NA;NA;2500;NA
"78";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;168;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;NA;NA;0;0;NA;NA;2500;NA
"79";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;169;1258,154;1363,849;1,96;37,99;1220,164;1296,144;433,412;493,1;408,111;462,082;562,789;438,998;-0,101;0,063;-0,707;-0,879;112,986;0,244;0,785;-0,639;0,539;0;0;0,772;0,473;2499;0,999
"80";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;171;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;NA;NA;0;0;NA;NA;2500;NA
"81";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;172;2083,486;2227,484;1,96;66,74;2016,746;2150,226;761,414;810,587;716,965;811,782;562,789;438,998;-0,298;-0,336;-1,124;-1,247;150,676;0,19;0,958;-0,529;0,609;0;0;0,905;0,714;2598,5;0,832
"82";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;173;2083,486;2227,484;1,96;66,74;2016,746;2150,226;761,414;810,587;716,965;811,782;562,789;438,998;-0,298;-0,336;-1,124;-1,247;150,676;0,19;0,958;-0,529;0,609;0;0;0,905;0,714;2598,5;0,832
"83";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;175;2083,486;2227,484;1,96;66,74;2016,746;2150,226;761,414;810,587;716,965;811,782;562,789;438,998;-0,298;-0,336;-1,124;-1,247;150,676;0,19;0,958;-0,529;0,609;0;0;0,905;0,714;2598,5;0,832
"84";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;176;2083,486;2227,484;1,96;66,74;2016,746;2150,226;761,414;810,587;716,965;811,782;562,789;438,998;-0,298;-0,336;-1,124;-1,247;150,676;0,19;0,958;-0,529;0,609;0;0;0,905;0,714;2598,5;0,832
"85";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;178;2083,486;2227,484;1,96;66,74;2016,746;2150,226;761,414;810,587;716,965;811,782;562,789;438,998;-0,298;-0,336;-1,124;-1,247;150,676;0,19;0,958;-0,529;0,609;0;0;0,905;0,714;2598,5;0,832
"86";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;183;2,866;3,058;1,96;0,106;2,76;2,972;1,212;1,469;1,141;1,292;562,789;438,998;0,238;0,028;-1,132;-1,488;0,324;0,13;1;-0,39;0,706;0;0;0,807;0,537;2821;0,468
"87";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;188;67,796;78,17;1,96;3,732;64,064;71,528;42,577;43,773;40,092;45,394;562,789;438,998;0,344;-0,223;-1,201;-1,539;13,573;0,248;0,77;-0,705;0,498;0;0;0,839;0,596;2852;0,446
"88";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;190;408,656;419,108;1,96;5,734;402,922;414,39;65,413;77,619;61,594;69,74;562,789;438,998;0,941;0,994;0,306;-0,176;14,416;0,144;0,998;-0,401;0,697;0;0;0,852;0,618;2428,5;0,878
"89";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;191;108,764;117,09;1,96;3,341;105,423;112,105;38,118;35,772;35,893;40,639;562,789;438,998;0,549;0,459;-0,957;-0,888;9,91;0,19;0,958;-0,691;0,506;0;0;0,962;0,814;2642;0,759
"90";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;196;37,108;37,472;1,96;0,693;36,415;37,801;7,907;8,003;7,445;8,43;562,789;438,998;-0,482;-0,405;-0,623;-0,613;1,244;0,146;0,998;-0,135;0,895;0;0;1,155;0,888;2846,5;0,453
"91";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;204;2274,83;2226,987;1,96;38,632;2236,198;2313,462;440,737;444,092;415,008;469,892;562,789;438,998;0,264;0,456;-1,646;-1,609;65,31;0,23;0,841;0,32;0,756;0;0;0,922;0,745;2195,5;0,51
"92";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;205;133,46;128,263;1,96;2,478;130,982;135,938;28,269;30,245;26,619;30,139;562,789;438,998;0,114;0,013;-0,973;-1,48;7,185;0,206;0,92;0,512;0,621;0;0;1,035;0,935;2640;0,762
"93";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;206;15,618;16,15;1,96;0,605;15,013;16,223;6,905;6,987;6,502;7,362;562,789;438,998;-0,118;-0,394;-1,137;-1,237;1,109;0,138;0,999;-0,227;0,826;0;0;1,109;0,952;2920,5;0,361
"94";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;207;2,682;2,624;1,96;0,155;2,527;2,837;1,77;1,695;1,667;1,887;562,789;438,998;0,23;-0,091;-0,472;-0,921;0,23;0,086;1;0,101;0,922;0;0;1,406;0,603;2750,5;0,578
"95";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;209;343,536;351,785;1,96;9,196;334,34;352,732;104,916;113,031;98,791;111,856;562,789;438,998;-0,398;-0,463;-0,763;-0,809;18,181;0,12;1;-0,217;0,833;0;0;0,938;0,773;2732,5;0,615
"96";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;211;139,798;148,577;1,96;4,372;135,426;144,17;49,878;35,956;46,967;53,178;562,789;438,998;0,994;-0,047;0,769;-1,053;18,988;0,25;0,76;-0,72;0,489;0;0;2,026;0,242;2332;0,717
"97";"VazaoIncrementalMultidimensional/";"Arvore1";4;10;215;225,422;206,132;1,96;25,502;199,92;250,924;290,948;278,891;273,964;310,195;562,789;438,998;1,833;1,619;2,145;0,885;35,018;0,302;0,53;0,205;0,842;0;0;1,03;0,927;2833;0,471
